steps,currentTime,done,speed,reward,gap,fuel,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
4289,89.778,0,55.28069305419922,0.6394424343164784,0.43280720649530197,29.661226272583008,102.57131958007812,29.022151947021484,8216.08203125,-7.515000343322754,0.0,1.0,5,31955,-4.391757011413574,-0.40168604254722595,55.10449981689453,-0.08783546090126038,0.020214086398482323,-0.08547919988632202,-0.019920453429222107,1,4298.6271051581425,0.0,-0.027867999275258626,1.0,-1.0,-0.28745704889297485,0.6222779750823975,-0.15137988328933716,2799,0.0
4290,89.817,0,55.39276885986328,0.638926206834589,0.46553042959466945,29.661104202270508,102.3935546875,31.230051040649414,8203.62109375,-7.964999675750732,0.0,1.0,5,31959,-4.495701313018799,-0.27072206139564514,55.20936584472656,-0.08947451412677765,0.018429188057780266,-0.008391579613089561,-0.11421701312065125,1,4300.786446381069,0.0,-0.02943782415059104,1.0,-1.0,-0.011773685924708843,0.7662472128868103,-0.5029122233390808,2800,0.0
4291,89.856,0,55.50469207763672,0.6381226669603134,0.5032662451717659,29.660982131958008,102.21184539794922,33.44060134887695,8199.265625,-17.81999969482422,0.0,1.0,5,31963,-4.562254428863525,-0.021131223067641258,55.316871643066406,-0.08810248225927353,0.01596239022910595,0.07910213619470596,-0.12254930287599564,1,4302.948533547373,0.0,-0.06601610313919082,1.0,-1.0,-0.2743370831012726,0.3367809057235718,-0.5894176959991455,2802,0.0
4292,89.898,0,55.62652587890625,0.6373359250123897,0.5425897996971719,29.660852432250977,102.0296859741211,35.65576934814453,8214.11328125,0.0,0.0,1.0,5,31967,-4.561203479766846,0.15585105121135712,55.438987731933594,-0.08309579640626907,0.01221431139856577,0.11835400760173798,0.022996066138148308,1,4305.28292866057,0.0,6.475020381913055e-05,1.0,-1.0,0.495606392621994,0.6370383501052856,-0.6361100673675537,2803,0.0
4293,89.937,0,55.7252082824707,0.6362085569645667,0.5831102911337745,29.660730361938477,101.84716796875,37.875343322753906,8271.7998046875,14.264999389648438,0.0025162394158542156,1.0,5,31971,-4.571712017059326,0.0628226101398468,55.537322998046875,-0.07948480546474457,0.013924547471106052,0.06256274878978729,0.13273192942142487,1,4307.4511941994715,0.0,0.05269800592395768,1.0,-0.8347564041614532,0.39474940299987793,0.5235928297042847,0.34425750374794006,2805,0.0
4294,89.976,0,55.80105209350586,0.6347783308911865,0.6242587357046956,29.660606384277344,101.66448974609375,40.098480224609375,8378.7177734375,-10.574999809265137,0.0,1.0,5,31975,-4.538793087005615,-0.195381298661232,55.61581039428711,-0.07792532444000244,0.018055986613035202,0.04695850983262062,0.11992418766021729,1,4309.624951625126,0.0,-0.03913846891191497,1.0,-1.0,-0.688773512840271,0.3278829753398895,-0.7804669737815857,2806,0.0
4295,90.018,0,55.911251068115234,0.6338694455950356,0.6629357511101163,29.660472869873047,101.48455047607422,42.32638931274414,8381.1298828125,-0.675000011920929,0.0,1.0,5,31979,-4.464290142059326,-0.44725632667541504,55.73094177246094,-0.0754600390791893,0.01739337109029293,0.06177651882171631,0.042345549911260605,1,4311.971360240597,0.0,-0.002499240448742057,1.0,-1.0,0.27479419112205505,0.934224545955658,-0.8709729909896851,2808,0.0
4296,90.057,0,56.03772735595703,0.6332572364664495,0.6994482762668339,29.660348892211914,101.30748748779297,44.55830001831055,8333.275390625,-8.729999542236328,0.0,1.0,5,31983,-4.370040416717529,-0.5597085356712341,55.86426544189453,-0.0730891227722168,0.015527835115790367,0.06883961707353592,0.005244790576398373,1,4314.155071710993,0.0,-0.03230586740937724,1.0,-1.0,-0.22354969382286072,0.7734086513519287,-0.770179271697998,2809,0.0
4297,90.096,0,56.14902877807617,0.6327420416617837,0.7310242860542101,29.660215377807617,101.13514709472656,46.80745315551758,8325.0400390625,-10.395000457763672,0.0,1.0,5,31987,-4.1999359130859375,-0.5832151770591736,55.98869705200195,-0.06935153156518936,0.012735789641737938,0.10431001335382462,-0.02458195574581623,1,4316.344275068142,0.0,-0.0385310184192349,1.0,-1.0,-0.04668863117694855,0.7700207233428955,-0.9214023351669312,2810,0.0
4298,90.138,0,56.260841369628906,0.6326230373198529,0.7555354324764945,29.660091400146484,100.97122192382812,49.049617767333984,8331.37109375,-0.675000011920929,0.006397073157131672,1.0,5,31991,-4.012364864349365,-0.5355405211448669,56.115028381347656,-0.06486564129590988,0.011511643417179585,0.10735077410936356,-0.03422224521636963,1,4318.702353942965,0.0,-0.002407627178399707,1.0,-0.7562984675168991,0.2709254324436188,0.889675498008728,0.5077115297317505,2812,0.0
